Date,Issuer,Symbol,Lead/Joint-Lead Manager,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Chg Opening,$ Chg Close,Star Ratings,Performed
2015/2/13,Great Ajax  ,AJX,FBR/ Sterne Agee/ Nomura,$14.25 ,$14.25 ,$14.00 ,-1.75%,$0.00 ,($0.25),1,
2015/2/13,FinTech Acquisition ,FNTCU,Cantor Fitzgerald ,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/2/18,Inotek Pharmaceuticals  ,ITEK,Cowen and Company/ Piper Jaffray,$6.00 ,$6.10 ,$6.00 ,0.00%,$0.10 ,$0.00 ,1,
2015/2/19,Check-Cap Ltd. ,CHEKU,Chardan Capital Markets/ Maxim Group,$6.00 ,$6.00 ,$6.01 ,0.17%,$0.00 ,$0.01 ,1,
2015/3/6,MaxPoint Interactive   ,MXPT,Goldman Sachs/ Deutsche Bank Securities/ Pacific Crest Securities,$11.50 ,$11.00 ,$9.76 ,-15.13%,($0.50),($1.74),2,Missed
2015/3/12,Summit Materials   ,SUM,Citigroup/ Goldman Sachs/ BofA Merrill Lynch/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,$18.00 ,$20.16 ,$20.97 ,16.50%,$2.16 ,$2.97 ,2,
2015/3/18,Goldman Sachs BDC ,GSBD,BofA Merrill Lynch/ Goldman Sachs/ Morgan Stanley/ Citigroup/ Credit Suisse/ Wells Fargo Securities,$20.00 ,$19.50 ,$20.05 ,0.25%,($0.50),$0.05 ,1,
2015/3/19,National Commerce  ,NCOM,"Keefe, Bruyette & Woods (A Stifel Company)",$19.50 ,$21.05 ,$21.12 ,8.31%,$1.55 ,$1.62 ,1,Missed
2015/3/20,SteadyMed ,STDY,Wells Fargo Securities/ RBC Capital Markets,$8.50 ,$8.06 ,$8.60 ,1.18%,($0.44),$0.10 ,1,
2015/4/1,GoDaddy ,GDDY,Morgan Stanley/ J.P. Morgan/ Citigroup/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,$20.00 ,$26.15 ,$26.15 ,30.75%,$6.15 ,$6.15 ,3,
2015/4/2,Kornit Digital Ltd.   ,KRNT,Barclays/ Citigroup,$10.00 ,$12.94 ,$14.00 ,40.00%,$2.94 ,$4.00 ,1,
2015/4/9,Carbylan Therapeutics ,CBYL,Leerink Partners,$5.00 ,$5.56 ,$5.56 ,11.20%,$0.56 ,$0.56 ,1,
2015/4/15,Cidara Therapeutics  ,CDTX,Jefferies/ Leerink Partners,$16.00 ,$16.11 ,$16.00 ,0.00%,$0.11 ,$0.00 ,2,Missed
2015/4/16,Etsy ,ETSY,Goldman Sachs,$16.00 ,$31.00 ,$30.00 ,87.50%,$15.00 ,$14.00 ,3,
2015/4/16,KemPharm   ,KMPH,Cowen and Company/ RBC Capital Markets,$11.00 ,$11.75 ,$11.20 ,1.82%,$0.75 ,$0.20 ,1,
2015/4/16,Party City Holdco ,PRTY,Goldman Sachs/ BofA Merrill Lynch,$17.00 ,$20.50 ,$20.70 ,21.76%,$3.50 ,$3.70 ,3,
2015/4/16,Virtu Financial ,VIRT,"Goldman Sachs/ J.P. Morgan/ Sandler O'Neill + Partners, L.P.",$19.00 ,$23.00 ,$22.18 ,16.74%,$4.00 ,$3.18 ,2,
2015/4/23,National Storage Affiliates Trust  (NSA),NSA,Jefferies/ Morgan Stanley/ Wells Fargo Securities,$13.00 ,$13.00 ,$13.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/4/24,Apigee  ,APIC,Morgan Stanley/ J.P. Morgan/ Credit Suisse,$17.00 ,$20.00 ,$16.70 ,-1.76%,$3.00 ,($0.30),3,
2015/4/29,Atlantic Alliance Partnership ,AAPC,Citigroup,$10.00 ,$10.01 ,$10.06 ,0.60%,$0.01 ,$0.06 ,1,
2015/4/29,"Enviva Partners, LP  ",EVA,Barclays/ Goldman Sachs/ RBC Capital Markets/ Citigroup,$20.00 ,$20.00 ,$21.50 ,7.50%,$0.00 ,$1.50 ,3,
2015/4/29,Viking Therapeutics ,VKTX,Laidlaw & Company (UK) Ltd.,$8.00 ,$8.61 ,$8.96 ,12.00%,$0.61 ,$0.96 ,1,
2015/4/30,Blueprint Medicines ,BPMC,Goldman Sachs/ Cowen and Company,$18.00 ,$23.40 ,$18.87 ,4.83%,$5.40 ,$0.87 ,3,
2015/5/1,Arowana ,ARWAU,EarlyBirdCapital,$10.00 ,$10.01 ,$10.02 ,0.20%,$0.01 ,$0.02 ,1,
2015/5/1,"Black Stone Minerals, L.P. ",BSM,Barclays/ BofA Merrill Lynch/ Citigroup/ Credit Suisse/ Wells Fargo Securities,$19.00 ,$19.15 ,$18.24 ,-4.00%,$0.15 ,($0.76),2,Missed
2015/5/5,OpGen ,OPGN,Maxim Group,$6.00 ,$5.30 ,$4.85 ,-19.17%,($0.70),($1.15),1,
2015/5/6,Adaptimmune Therapeutics PLC ,ADAP,BofA Merrill Lynch/ Cowen and Company/ Leerink Partners,$17.00 ,$19.25 ,$16.00 ,-5.88%,$2.25 ,($1.00),1,
2015/5/6,CoLucid Pharmaceuticals  ,CLCD,Piper Jaffray/ Stifel,$10.00 ,$7.80 ,$8.00 ,-20.00%,($2.20),($2.00),1,
2015/5/6,HTG Molecular Diagnostics ,HTGM,Leerink Partners,$14.00 ,$14.00 ,$13.77 ,-1.64%,$0.00 ,($0.23),2,Missed
2015/5/7,aTYR PHARMA ,LIFE,J.P. Morgan/ Citigroup,$14.00 ,$13.25 ,$14.95 ,6.79%,($0.75),$0.95 ,1,
2015/5/7,Collegium Pharmaceutical ,COLL,Jefferies/ Piper Jaffray,$12.00 ,$12.00 ,$12.29 ,2.42%,$0.00 ,$0.29 ,1,
2015/5/7,"Tallgrass Energy GP, LP ",TEGP,Citigroup/ Goldman Sachs,$29.00 ,$30.90 ,$31.75 ,9.48%,$1.90 ,$2.75 ,3,
2015/5/8,Bojangles ,BOJA,BofA Merrill Lynch/ Wells Fargo Securities/ Jefferies,$19.00 ,$26.55 ,$23.75 ,25.00%,$7.55 ,$4.75 ,3,
2015/5/12,"EQT GP Holdings, LP ",EQGP,Barclays/ Goldman Sachs,$27.00 ,$32.00 ,$32.96 ,22.07%,$5.00 ,$5.96 ,3,
2015/5/13,Jaguar Animal Health  ,JAGX,Aegis Capital Corp,$7.00 ,$7.00 ,$6.78 ,-3.14%,$0.00 ,($0.22),1,
2015/5/14,Fenix Parts ,FENX,BMO Capital Markets/ Stifel,$8.00 ,$7.80 ,$8.44 ,5.50%,($0.20),$0.44 ,1,
2015/5/15,Arcadia Biosciences  ,RKDA,Credit Suisse/ J.P. Morgan/ Piper Jaffray,$8.00 ,$7.49 ,$7.30 ,-8.75%,($0.51),($0.70),1,
2015/5/15,Fortress Transportation and Infrastructure Investors ,FTAI,Citigroup/ BofA Merrill Lynch/ Barclays/ Deutsche Bank Securities/ UBS Investment Bank,$17.00 ,$16.00 ,$16.55 ,-2.65%,($1.00),($0.45),1,
2015/5/19,Black Knight Financial Services ,BKFS,J.P. Morgan/ BofA Merrill Lynch/ Wells Fargo Securities,$24.50 ,$26.25 ,$27.11 ,10.65%,$1.75 ,$2.61 ,3,
2015/5/20,GP Investments Acquisition ,GPIAU,Citigroup,$10.00 ,$10.05 ,$10.02 ,0.20%,$0.05 ,$0.02 ,1,
2015/5/21,Baozun ,BZUN,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,$10.00 ,$10.25 ,$10.44 ,4.40%,$0.25 ,$0.44 ,1,
2015/5/21,Community Healthcare Trust ,CHCT,Sandler ONeill + Partners/ SunTrust Robinson Humphrey,$19.00 ,$19.00 ,$19.75 ,3.95%,$0.00 ,$0.75 ,1,
2015/5/21,PGA Holdings  ,PGND,Barclays/ Goldman Sachs/ William Blair,$25.00 ,$27.67 ,$27.50 ,10.00%,$2.67 ,$2.50 ,2,
2015/5/21,Shopify ,SHOP,Morgan Stanley/ Credit Suisse/ RBC Capital Markets,$17.00 ,$28.00 ,$25.68 ,51.06%,$11.00 ,$8.68 ,3,
2015/6/4,"PennTex Midstream Partners, LP ",PTXP,"Citigroup/ Barclays/ RBC Capital Markets/ Tudor, Pickering, Holt",$20.00 ,$20.95 ,$19.48 ,-2.60%,$0.95 ,($0.52),2,
2015/6/5,DAVIDsTEA ,DTEA,Goldman Sachs/ J.P. Morgan,$19.00 ,$25.00 ,$27.00 ,42.11%,$6.00 ,$8.00 ,3,
2015/6/5,EndoChoice (ECPM Holdings)  ,GI,J.P. Morgan/ BofA Merrill Lynch/ William Blair/ Stifel,$15.00 ,$14.50 ,$17.00 ,13.33%,($0.50),$2.00 ,2,
2015/6/5,Evolent Health  ,EVH,J.P. Morgan/ Goldman Sachs,$17.00 ,$18.00 ,$18.86 ,10.94%,$1.00 ,$1.86 ,3,
2015/6/11,Axovant Sciences ,AXON,Jefferies/ Evercore ISI/ RBC Capital Markets,$15.00 ,$20.93 ,$29.90 ,99.33%,$5.93 ,$14.90 ,3,
2015/6/11,Electrum Special Acquisition ,ELECU,Cantor Fitzgerald ,$10.00 ,$10.06 ,$10.15 ,1.50%,$0.06 ,$0.15 ,1,
2015/6/11,People's Utah Bancorp ,PUB,D.A. Davidson & Co.,$14.40 ,$15.76 ,$16.70 ,15.97%,$1.36 ,$2.30 ,1,Missed
2015/6/15,Invuity ,IVTY,Piper Jaffray/ Leerink Partners/ Stifel,$12.00 ,$12.75 ,$14.92 ,24.33%,$0.75 ,$2.92 ,1,
2015/6/17,Nivalis Therapeutics  ,NVLS,Cowen and Company/ Stifel,$14.00 ,$16.50 ,$14.92 ,6.57%,$2.50 ,$0.92 ,2,
2015/6/18,Fitbit  ,FIT,Morgan Stanley/ Deutsche Bank Securities/ BofAMerrill Lynch,$20.00 ,$30.40 ,$29.68 ,48.40%,$10.40 ,$9.68 ,4,
2015/6/18,Univar ,UNVR,Deutsche Bank Securities/ Goldman Sachs/ BofA Merrill Lynch,$22.00 ,$24.10 ,$24.05 ,9.32%,$2.10 ,$2.05 ,2,
2015/6/19,8point3 Energy Partners LP  ,CAFD,Goldman Sachs/ Citigroup/ Deutsche Bank Securities/ J.P. Morgan/ Credit Agricole CIB,$21.00 ,$20.80 ,$20.49 ,-2.43%,($0.20),($0.51),2,Missed
2015/6/19,Fogo de Ch_o ,FOGO,Jefferies/ J.P. Morgan,$20.00 ,$25.24 ,$25.75 ,28.75%,$5.24 ,$5.75 ,4,
2015/6/19,MINDBODY ,MB,Morgan Stanley/ Credit Suisse/ UBS Securities,$14.00 ,$16.22 ,$11.56 ,-17.43%,$2.22 ,($2.44),3,
2015/6/24,Ritter Pharmaceuticals ,RTTR,Aegis Capital Corp,$5.00 ,$5.00 ,$4.96 ,-0.80%,$0.00 ,($0.04),1,
2015/6/25,Catabasis Pharmaceuticals  (CATB),CATB,Citigroup/ Cowen and Company,$12.00 ,$12.74 ,$13.00 ,8.33%,$0.74 ,$1.00 ,1,
2015/6/25,Gener8 Maritime  ,GNRT,Citigroup/ UBS/ Jefferies/ Evercore ISI,$14.00 ,$12.75 ,$13.10 ,-6.43%,($1.25),($0.90),1,
2015/6/25,Glaukos ,GKOS,J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs,$18.00 ,$29.11 ,$31.22 ,73.44%,$11.11 ,$13.22 ,3,
2015/6/25,Lantheus Holdings ,LNTH,Credit Suisse/ Jefferies/ RBC Capital Markets/ Wells Fargo Securities,$14.00 ,$16.22 ,$11.56 ,-17.43%,$2.22 ,($2.44),1,
2015/6/25,Milacron Holdings  ,MCRN,BofA Merrill Lynch/ Barclays/ J.P. Morgan/ Baird/ Credit Suisse/ Goldman Sachs,$20.00 ,$19.50 ,$19.58 ,-2.10%,($0.50),($0.42),2,Missed
2015/6/26,Alarm.com Holdings  ,ALRM,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch,$14.00 ,$16.05 ,$16.88 ,20.57%,$2.05 ,$2.88 ,3,
2015/6/26,AppFolio ,APPF,Morgan Stanley/ Credit Suisse,$12.00 ,$12.15 ,$14.08 ,17.33%,$0.15 ,$2.08 ,2,
2015/6/26,Green Plains Partners LP  ,GPP,Barclays/ BofA Merrill Lynch/ Credit Suisse/ Macquarie Capital/ RBC Capital Markets,$15.00 ,$15.23 ,$15.00 ,0.00%,$0.23 ,$0.00 ,1,
2015/6/26,Seres Therapeutics  ,MCRB,Goldman Sachs/ BofA Merrill Lynch,$18.00 ,$31.36 ,$51.40 ,185.56%,$13.36 ,$33.40 ,3,
2015/6/26,Xactly  ,XTLY,J.P. Morgan/ Deutsche Bank Securities/ UBS Investment Bank,$8.00 ,$8.00 ,$8.70 ,8.75%,$0.00 ,$0.70 ,1,
2015/6/26,Yulong Eco-Materials ,YECO,Axiom Capital Management/ Northland Capital Markets/ ViewTrade Securities,$6.25 ,$6.25 ,$6.17 ,-1.28%,$0.00 ,($0.08),1,
2015/7/1,CNX Coal Resources LP  ,CNXC,BofA Merrill Lynch/ Wells Fargo Securities/ Jefferies / Scotia Howard Weil/ Citigroup/ Credit Suisse/ J.P. Morgan/ Evercore ISI / BB&T Capital Markets/ Goldman Sachs/ The Huntington Investment Company/ Stifel/ Nomura,$15.00 ,$15.00 ,$15.41 ,2.73%,$0.00 ,$0.41 ,1,
2015/7/1,ConforMIS  ,CFMS,J.P. Morgan/ Deutsche Bank Securities,$15.00 ,$18.00 ,$19.25 ,28.33%,$3.00 ,$4.25 ,3,
2015/7/1,Teladoc ,TDOC,J.P. Morgan/ Deutsche Bank Securities,$19.00 ,$29.90 ,$28.50 ,50.00%,$10.90 ,$9.50 ,3,
2015/7/1,Unique Fabricating  ,UFAB,Roth Capital Partners/ Taglich Brothers,$9.50 ,$12.50 ,$13.49 ,42.00%,$3.00 ,$3.99 ,1,Missed
2015/7/2,Natera ,NTRA,Morgan Stanle/ Cowen and Company/ Piper Jaffray,$18.00 ,$22.10 ,$22.74 ,26.33%,$4.10 ,$4.74 ,3,
2015/7/16,Chiasma ,CHMA,Barclays/ Cowen and Company,$16.00 ,$20.99 ,$20.00 ,25.00%,$4.99 ,$4.00 ,3,
2015/7/16,Jupai Holdings ,JP,Credit Suisse/ China Renaissance,$10.00 ,$10.41 ,$11.08 ,10.80%,$0.41 ,$1.08 ,1,
2015/7/16,Ollie's Bargain Outlet Holdings ,OLLI,J.P. Morgan/ Jefferies/ BofA Merrill Lynch,$16.00 ,$21.27 ,$21.15 ,32.19%,$5.27 ,$5.15 ,1,
2015/7/16,ProNAi Therapeutics ,DNAI,Jefferies/ BofA Merrill Lynch,$17.00 ,$28.68 ,$30.80 ,81.18%,$11.68 ,$13.80 ,3,
2015/7/17,MCBC Holdings ,MCFT,Baird/ Raymond James/ Wells Fargo Securities,$15.00 ,$15.50 ,$15.92 ,6.13%,$0.50 ,$0.92 ,2,
2015/7/17,Ooma ,OOMA,Credit Suisse/ BofA Merrill Lynch,$13.00 ,$12.10 ,$10.95 ,-15.77%,($0.90),($2.05),1,
2015/7/17,Rapid7 ,RPD,Morgan Stanley/ Barclays,$16.00 ,$26.75 ,$25.28 ,58.00%,$10.75 ,$9.28 ,4,
2015/7/22,Blue Buffalo Pet Products  ,BUFF,J.P. Morgan/ Citigroup,$20.00 ,$27.00 ,$27.20 ,36.00%,$7.00 ,$7.20 ,4,
2015/7/23,Hennessy Capital Acquisition Corp II  ,HCACU,UBS Investment Bank/ Cantor Fitzgerald/ BMO Capital Markets,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/7/23,Live Oak Bancshares ,LOB,"Sandler O¡¯Neill & Partners, L.P",$17.00 ,$18.50 ,$19.07 ,12.18%,$1.50 ,$2.07 ,2,
2015/7/23,Neos Therapeutics ,NEOS,UBS Investment Bank/ BMO Capital Markets/ RBC Capital Markets,$15.00 ,$18.22 ,$19.54 ,30.27%,$3.22 ,$4.54 ,1,Missed
2015/7/24,JM Global Holding ,WYIGU,Cantor Fitzgerald,$10.00 ,$10.00 ,$10.06 ,0.60%,$0.00 ,$0.06 ,1,
2015/7/28,NantKwest ,NK,BofA Merrill Lynch/ Citigroup/ Jefferies/ Piper Jaffray,$25.00 ,$37.00 ,$34.64 ,38.56%,$12.00 ,$9.64 ,3,
2015/7/30,Easterly Acquisition   ,EACQU,Citigroup,$10.00 ,$10.00 ,$9.99 ,-0.10%,$0.00 ,($0.01),1,
2015/7/30,Global Partner Acquisition ,GPACU,Deutsche Bank Securities,$10.00 ,$10.01 ,$10.03 ,0.30%,$0.01 ,$0.03 ,1,
2015/7/30,vTv Therapeutics ,VTV,Piper Jaffray/ Stifel,$15.00 ,$14.00 ,$10.89 ,-27.40%,($1.00),($4.11),2,Missed
2015/7/31,TerraForm Global  ,GLBL,J.P. Morgan/ Barclays/ Citigroup/ Morgan Stanley,$15.00 ,$14.00 ,$14.00 ,-6.67%,($1.00),($1.00),1,
2015/8/5,Amplify Snack Brands ,BETR,Goldman Sachs/ Jefferies/ Credit Suisse,$18.00 ,$17.00 ,$16.14 ,-10.33%,($1.00),($1.86),3,Missed
2015/8/5,Sunrun ,RUN,Credit Suisse/ Goldman Sachs/ Morgan Stanley,$14.00 ,$13.06 ,$10.77 ,-23.07%,($0.94),($3.23),1,
2015/8/5,Zynerba Pharmeceuticals ,ZYNE,Jefferies/ Piper Jaffray,$14.00 ,$18.00 ,$16.25 ,16.07%,$4.00 ,$2.25 ,3,
2015/8/6,Aimmune Therapeutics ,AIMT,BofA Merrill Lynch/ Credit Suisse/ Piper Jaffray,$16.00 ,$17.50 ,$24.10 ,50.63%,$1.50 ,$8.10 ,3,
2015/8/6,Planet Fitness  ,PLNT,J.P. Morgan Securities Merrill Lynch/ Jefferies/ Credit Suisse Securities,$16.00 ,$14.50 ,$16.00 ,0.00%,($1.50),$0.00 ,3,Missed
2015/8/12,Global Blood Therapeutics ,GBT,Morgan Stanley/ Goldman Sachs,$20.00 ,$34.65 ,$43.11 ,115.55%,$14.65 ,$23.11 ,3,
2015/8/13,Conifer Holdings ,CNFR,BMO Capital Markets/ Raymond James,$10.50 ,$9.75 ,$10.50 ,0.00%,($0.75),$0.00 ,1,
2015/8/13,E-compass Acquisition ,ECACU,Cantor Fitzgerald,$10.00 ,$10.05 ,$10.04 ,0.40%,$0.05 ,$0.04 ,1,
2015/8/13,Houlihan Lokey ,HLI,BofA Merrill Lynch/ Goldman Sachs,$21.00 ,$22.11 ,$22.40 ,6.67%,$1.11 ,$1.40 ,1,
2015/8/14,Gores Holdings ,GRSHU,Deutsche Bank Securities,$10.00 ,$10.03 ,$10.49 ,4.90%,$0.03 ,$0.49 ,1,
2015/9/11,Double Eagle Acquisition ,EAGLU,Deutsche Bank Securities/ BofA Merrill Lynch,$10.00 ,$10.01 ,$10.05 ,0.50%,$0.01 ,$0.05 ,1,
2015/9/11,Pace Holdings  ,PACEU,Deutsche Bank Securities/ Citigroup,$10.00 ,$10.10 ,$10.11 ,1.10%,$0.10 ,$0.11 ,1,
2015/9/17,REGENXBIO Inc.  ,RGNX,Morgan Stanley/ BofA Merrill Lynch/ Piper Jaffray,$22.00 ,$30.26 ,$30.45 ,38.41%,$8.26 ,$8.45 ,3,
2015/9/18,Nabriva Therapeutics AG ,NBRV,Leerink Partners/ RBC Capital Markets,$10.25 ,$11.39 ,$13.24 ,29.17%,$1.14 ,$2.99 ,2,
2015/9/18,Penumbra  ,PEN,J.P. Morgan/ BofA Merrill Lynch,$30.00 ,$40.00 ,$41.30 ,37.67%,$10.00 ,$11.30 ,3,
2015/9/22,Boulevard Acquisition Corp. II  ,BLVDU,Citigroup,$10.00 ,$10.00 ,$9.96 ,-0.40%,$0.00 ,($0.04),1,
2015/10/1,Edge Therapeutics ,EDGE,Leerink Partners/ Credit Suisse,$11.00 ,$11.60 ,$12.94 ,17.64%,$0.60 ,$1.94 ,1,
2015/10/1,Mirna Therapeutics ,MIRN,Citigroup/ Leerink Partners,$7.00 ,$7.25 ,$7.04 ,0.57%,$0.25 ,$0.04 ,1,
2015/10/1,Performance Food Group  ,PFGC,Credit Suisse/ Barclays/ Wells Fargo Securities/ Morgan Stanley,$19.00 ,$19.00 ,$19.20 ,1.05%,$0.00 ,$0.20 ,1,
2015/10/1,Surgery Partners ,SGRY,BofA Merrill Lynch/ Goldman Sachs/ Jefferies,$19.00 ,$17.45 ,$18.11 ,-4.68%,($1.55),($0.89),1,
2015/10/2,NovoCure ,NVCR,J.P. Morgan/ Deutsche Bank Securities/ Evercore ISI/ Wells Fargo Securities,$22.00 ,$19.23 ,$18.28 ,-16.91%,($2.77),($3.72),1,
2015/10/7,Aclaris Therapeutics ,ACRS,Jefferies/ Citigroup,$11.00 ,$11.94 ,$11.05 ,0.45%,$0.94 ,$0.05 ,1,
2015/10/7,Pure Storage ,PSTG,Morgan Stanley/ Goldman Sachs/ Barclays/ Allen & Company/ BofA Merrill Lynch,$17.00 ,$16.74 ,$16.01 ,-5.82%,($0.26),($0.99),3,Missed
2015/10/8,Allegiance Bancshares ,ABTX,Baird/ Stephens,$21.00 ,$22.31 ,$23.12 ,10.10%,$1.31 ,$2.12 ,1,
2015/10/8,CytomX Therapeutics ,CTMX,BofA Merrill Lynch/ Jefferies/ Cowen and Company,$12.00 ,$15.60 ,$12.90 ,7.50%,$3.60 ,$0.90 ,1,
2015/10/9,CPI Card Group ,PMTS,BMO Capital Markets/ Goldman Sachs/ CIBC,$10.00 ,$11.00 ,$12.17 ,21.70%,$1.00 ,$2.17 ,1,
2015/10/14,Capitol Acquisition Corp. III ,CLACU,Citigroup/ Deutsche Bank Securities/ Credit Suisse,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/10/14,Cerecor ,CERCU,Maxim Group LLC,$6.50 ,$6.59 ,$6.40 ,-1.54%,$0.09 ,($0.10),1,
2015/10/14,First Data   ,FDC,Citigroup/ Morgan Stanley/ BofA Merrill Lynch/ KKR/ Barclays/ Credit Suisse/ Deutsche Bank Securities/ Goldman Sachs/ HSBC/ Mizuho Securities/ PNC Capital Markets/ SunTrust Robinson Humphrey/ Wells Fargo Securities,$16.00 ,$16.39 ,$15.75 ,-1.56%,$0.39 ,($0.25),1,
2015/10/14,Pacific Special Acquisition ,PAACU,EarlyBirdCapital,$10.00 ,$10.02 ,$10.03 ,0.30%,$0.02 ,$0.03 ,1,
2015/10/27,Adesto Technologies ,IOTS,Needham & Company/ Oppenheimer & Co.,$5.00 ,$5.60 ,$5.90 ,18.00%,$0.60 ,$0.90 ,1,
2015/10/29,MyoKardia ,MYOK,Credit Suisse/ Cowen and Company,$10.00 ,$11.08 ,$10.53 ,5.30%,$1.08 ,$0.53 ,1,
2015/11/11,Advanced Accelerator Applications S.A. ,AAAP,Citigroup/ Jefferies_ _,$16.00 ,$18.50 ,$24.50 ,53.13%,$2.50 ,$8.50 ,1,Missed
2015/11/11,Equity Bancshares ,EQBK,"Keefe, Bruyette & Woods (A Stifel Company)/ Stephens",$22.50 ,$24.25 ,$23.89 ,6.18%,$1.75 ,$1.39 ,3,
2015/11/11,Voyager Therapeutics ,VYGR,Cowen and Company/ Piper Jaffray,$14.00 ,$15.10 ,$17.75 ,26.79%,$1.10 ,$3.75 ,1,
2015/11/11,Wave Life Sciences Pte Ltd. ,WVE,Jefferies/ Leerink Partners,$16.00 ,$17.05 ,$16.00 ,0.00%,$1.05 ,$0.00 ,2,
