日期,pv
2017/10/2," 775,476 "
2017/10/1," 977,254 "
2017/9/30," 1,041,019 "
2017/9/29," 1,066,878 "
2017/9/28," 1,080,321 "
2017/9/27," 1,091,847 "
2017/9/26," 1,093,242 "
2017/9/25," 927,498 "
2017/9/24," 922,452 "
2017/9/23," 1,064,198 "
2017/9/22," 1,085,389 "
2017/9/21," 1,092,010 "
2017/9/20," 1,088,422 "
2017/9/19," 1,086,244 "
2017/9/18," 908,659 "
2017/9/17," 904,510 "
2017/9/16," 1,053,732 "
2017/9/15," 1,071,808 "
2017/9/14," 1,073,680 "
2017/9/13," 1,068,509 "
2017/9/12," 1,065,722 "
2017/9/11," 892,420 "
2017/9/10," 886,258 "
2017/9/9," 1,021,735 "
2017/9/8," 1,038,969 "
2017/9/7," 1,064,082 "
2017/9/6," 1,082,051 "
2017/9/5," 1,072,096 "
2017/9/4," 899,558 "
2017/9/3," 897,891 "
2017/9/2," 1,043,244 "
2017/9/1," 1,069,722 "
2017/8/31," 1,068,285 "
2017/8/30," 1,065,063 "
2017/8/29," 1,049,739 "
2017/8/28," 884,853 "
2017/8/27," 880,901 "
2017/8/26,
2017/8/25," 1,049,411 "
2017/8/24," 1,053,288 "
2017/8/23," 1,055,748 "
2017/8/22," 1,050,584 "
2017/8/21," 868,807 "
2017/8/20," 873,942 "
2017/8/19," 1,016,299 "
2017/8/18," 1,038,070 "
2017/8/17," 1,039,977 "
2017/8/16," 1,043,397 "
2017/8/15," 1,042,676 "
2017/8/14," 860,578 "
2017/8/13," 866,982 "
2017/8/12," 1,008,991 "
2017/8/11," 1,026,537 "
2017/8/10," 1,029,633 "
2017/8/9," 1,030,808 "
2017/8/8," 1,030,370 "
2017/8/7," 848,712 "
2017/8/6," 851,617 "
2017/8/5," 999,789 "
2017/8/4," 1,019,967 "
2017/8/3," 1,024,000 "
2017/8/2," 1,024,018 "
2017/8/1," 1,021,727 "
2017/7/31," 839,237 "
2017/7/30," 843,471 "
2017/7/29," 988,726 "
2017/7/28," 1,010,043 "
2017/7/27," 1,013,098 "
2017/7/26," 1,015,162 "
2017/7/25," 1,011,754 "
2017/7/24," 831,967 "
2017/7/23," 830,787 "
2017/7/22," 969,210 "
2017/7/21," 984,136 "
2017/7/20," 1,025,071 "
2017/7/19," 1,039,068 "
2017/7/18," 1,035,505 "
2017/7/17," 854,120 "
2017/7/16," 859,474 "
2017/7/15," 1,005,210 "
2017/7/14," 1,023,411 "
2017/7/13," 1,025,928 "
2017/7/12," 1,025,067 "
2017/7/11," 1,030,184 "
2017/7/10," 854,725 "
2017/7/9," 858,386 "
2017/7/8," 1,004,635 "
2017/7/7," 1,028,555 "
2017/7/6," 1,025,898 "
2017/7/5," 1,023,121 "
2017/7/4," 1,023,695 "
2017/7/3," 850,193 "
2017/7/2," 858,810 "
2017/7/1," 1,005,968 "
2017/6/30," 1,023,407 "
2017/6/29," 1,027,342 "
2017/6/28," 1,027,911 "
2017/6/27," 1,026,699 "
2017/6/26," 858,749 "
2017/6/25," 864,012 "
2017/6/24," 1,006,369 "
2017/6/23," 1,026,059 "
2017/6/22," 1,029,835 "
2017/6/21," 1,030,007 "
2017/6/20," 1,031,082 "
2017/6/19," 868,342 "
2017/6/18," 868,685 "
2017/6/17," 1,004,220 "
2017/6/16," 1,024,880 "
2017/6/15," 1,029,900 "
2017/6/14," 1,033,098 "
2017/6/13," 1,030,404 "
2017/6/12," 861,717 "
2017/6/11," 863,805 "
2017/6/10," 1,000,095 "
2017/6/9," 1,019,145 "
2017/6/8," 1,021,668 "
2017/6/7," 1,027,268 "
2017/6/6," 1,026,754 "
2017/6/5," 858,320 "
2017/6/4," 856,064 "
2017/6/3," 987,272 "
2017/6/2," 994,269 "
2017/6/1," 995,443 "
2017/5/31," 797,660 "
2017/5/30," 741,625 "
2017/5/29," 758,842 "
2017/5/28," 934,887 "
2017/5/27," 982,394 "
2017/5/26," 1,002,826 "
2017/5/25," 1,010,274 "
2017/5/24," 1,011,907 "
2017/5/23," 1,009,228 "
2017/5/22," 839,898 "
2017/5/21," 832,896 "
2017/5/20," 973,299 "
2017/5/19," 987,398 "
2017/5/18," 985,874 "
2017/5/17," 1,014,145 "
2017/5/16," 1,015,328 "
2017/5/15," 853,389 "
2017/5/14," 851,412 "
2017/5/13," 992,509 "
2017/5/12," 1,010,740 "
2017/5/11," 1,013,585 "
2017/5/10," 1,022,866 "
2017/5/9," 1,028,327 "
2017/5/8," 862,750 "
2017/5/7," 862,167 "
2017/5/6," 995,706 "
2017/5/5," 1,013,121 "
2017/5/4," 1,007,621 "
2017/5/3," 995,997 "
2017/5/2," 795,535 "
2017/5/1," 731,482 "
2017/4/30," 771,671 "
2017/4/29," 972,896 "
2017/4/28," 1,009,551 "
2017/4/27," 1,024,296 "
2017/4/26," 1,029,228 "
2017/4/25," 1,029,025 "
2017/4/24," 866,944 "
2017/4/23," 859,907 "
2017/4/22," 999,998 "
2017/4/21," 1,019,012 "
2017/4/20," 1,022,638 "
2017/4/19," 1,020,314 "
2017/4/18," 1,017,666 "
2017/4/17," 853,768 "
2017/4/16," 845,939 "
2017/4/15," 983,338 "
2017/4/14," 1,006,203 "
2017/4/13," 1,011,282 "
2017/4/12," 1,018,421 "
2017/4/11," 1,023,637 "
2017/4/10," 869,992 "
2017/4/9," 865,919 "
2017/4/8," 992,199 "
2017/4/7," 1,006,651 "
2017/4/6," 1,004,124 "
2017/4/5," 819,873 "
2017/4/4," 748,812 "
2017/4/3," 756,772 "
2017/4/2," 936,327 "
2017/4/1," 986,235 "
2017/3/31," 1,005,124 "
2017/3/30," 1,006,264 "
2017/3/29," 1,011,805 "
2017/3/28," 1,005,585 "
2017/3/27," 844,035 "
2017/3/26," 847,945 "
2017/3/25," 986,235 "
2017/3/24," 1,004,070 "
2017/3/23," 1,010,221 "
2017/3/22," 1,007,440 "
2017/3/21," 1,009,097 "
2017/3/20," 856,613 "
2017/3/19," 844,824 "
2017/3/18," 974,917 "
2017/3/17," 990,499 "
2017/3/16," 994,031 "
2017/3/15," 994,370 "
2017/3/14," 998,103 "
2017/3/13," 844,387 "
2017/3/12," 828,977 "
2017/3/11," 955,847 "
2017/3/10," 966,075 "
2017/3/9," 959,376 "
2017/3/8," 982,968 "
2017/3/7," 994,933 "
2017/3/6," 842,307 "
2017/3/5," 830,261 "
2017/3/4," 950,959 "
2017/3/3," 981,376 "
2017/3/2," 982,899 "
2017/3/1," 978,009 "
2017/2/28," 972,061 "
2017/2/27," 813,810 "
2017/2/26," 806,004 "
2017/2/25," 926,960 "
2017/2/24," 946,529 "
2017/2/23," 960,322 "
2017/2/22," 975,111 "
2017/2/21," 994,068 "
2017/2/20," 832,852 "
2017/2/19," 830,341 "
2017/2/18," 962,675 "
2017/2/17," 972,595 "
2017/2/16," 965,153 "
2017/2/15," 944,432 "
2017/2/14," 966,769 "
2017/2/13," 799,326 "
2017/2/12," 782,628 "
2017/2/11," 937,673 "
2017/2/10," 950,780 "
2017/2/9," 949,192 "
2017/2/8," 936,062 "
2017/2/7," 913,303 "
2017/2/6," 766,551 "
2017/2/5," 789,316 "
2017/2/4," 753,296 "
2017/2/3," 643,888 "
2017/2/2," 604,402 "
2017/2/1," 579,390 "
2017/1/31," 561,896 "
2017/1/30," 544,223 "
2017/1/29," 544,619 "
2017/1/28," 587,282 "
2017/1/27," 674,615 "
2017/1/26," 740,109 "
2017/1/25," 805,949 "
2017/1/24," 842,676 "
2017/1/23," 837,429 "
2017/1/22," 776,625 "
2017/1/21," 902,775 "
2017/1/20," 930,768 "
2017/1/19," 939,384 "
2017/1/18," 942,446 "
2017/1/17," 945,223 "
2017/1/16," 804,216 "
2017/1/15," 812,757 "
2017/1/14," 933,558 "
2017/1/13," 952,882 "
2017/1/12," 956,751 "
2017/1/11," 958,826 "
2017/1/10," 960,262 "
2017/1/9," 821,261 "
2017/1/8," 831,060 "
2017/1/7," 938,941 "
2017/1/6," 952,206 "
2017/1/5," 950,112 "
2017/1/4," 938,441 "
2017/1/3," 768,688 "
2017/1/2," 695,917 "
2017/1/1," 736,788 "
2016/12/31," 901,155 "
2016/12/30," 920,167 "
2016/12/29," 926,059 "
2016/12/28," 927,036 "
2016/12/27," 929,302 "
2016/12/26," 773,201 "
2016/12/25," 768,854 "
2016/12/24," 912,259 "
2016/12/23," 939,396 "
2016/12/22," 949,976 "
2016/12/21," 955,081 "
2016/12/20," 955,466 "
2016/12/19," 810,881 "
2016/12/18," 812,426 "
2016/12/17," 934,920 "
2016/12/16," 959,136 "
2016/12/15," 968,085 "
2016/12/14," 973,128 "
2016/12/13," 976,660 "
2016/12/12," 832,454 "
2016/12/11," 822,971 "
2016/12/10," 946,478 "
2016/12/9," 963,649 "
2016/12/8," 966,559 "
2016/12/7," 972,359 "
2016/12/6," 973,479 "
2016/12/5," 824,196 "
2016/12/4," 818,914 "
2016/12/3," 942,024 "
2016/12/2," 958,832 "
2016/12/1," 961,407 "
2016/11/30," 963,480 "
2016/11/29," 959,029 "
2016/11/28," 802,905 "
2016/11/27," 803,951 "
2016/11/26," 921,365 "
2016/11/25," 940,917 "
2016/11/24," 951,511 "
2016/11/23," 960,122 "
2016/11/22," 960,493 "
2016/11/21," 812,577 "
2016/11/20," 803,692 "
2016/11/19," 923,616 "
2016/11/18," 940,266 "
2016/11/17," 943,908 "
2016/11/16," 947,255 "
2016/11/15," 947,856 "
2016/11/14," 799,115 "
2016/11/13," 790,621 "
2016/11/12," 930,310 "
2016/11/11," 946,489 "
2016/11/10," 933,471 "
2016/11/9," 931,622 "
2016/11/8," 928,847 "
2016/11/7," 772,689 "
2016/11/6," 769,536 "
2016/11/5," 922,456 "
2016/11/4," 937,784 "
2016/11/3," 940,929 "
2016/11/2," 938,153 "
2016/11/1," 938,828 "
2016/10/31," 787,148 "
2016/10/30," 779,343 "
2016/10/29," 903,384 "
2016/10/28," 928,596 "
2016/10/27," 946,425 "
2016/10/26," 951,493 "
2016/10/25," 951,626 "
2016/10/24," 808,194 "
2016/10/23," 809,442 "
2016/10/22," 928,137 "
2016/10/21," 941,554 "
2016/10/20," 942,251 "
2016/10/19," 942,529 "
2016/10/18," 940,726 "
2016/10/17," 790,578 "
2016/10/16," 788,191 "
2016/10/15," 912,928 "
2016/10/14," 926,388 "
2016/10/13," 927,688 "
2016/10/12," 926,925 "
2016/10/11," 919,563 "
2016/10/10," 879,038 "
2016/10/9," 879,038 "
2016/10/8," 755,665 "
2016/10/7," 698,373 "
2016/10/6," 661,514 "
2016/10/5," 644,810 "
2016/10/4," 630,388 "
2016/10/3," 627,459 "
2016/10/2," 661,989 "
2016/10/1," 841,317 "
2016/9/30," 871,801 "
2016/9/29," 878,165 "
2016/9/28," 912,228 "
2016/9/27," 922,950 "
2016/9/26," 788,282 "
2016/9/25," 787,969 "
2016/9/24," 902,685 "
2016/9/23," 917,896 "
2016/9/22," 923,558 "
2016/9/21," 915,300 "
2016/9/20," 919,244 "
2016/9/19," 898,346 "
2016/9/18," 750,119 "
2016/9/17," 707,414 "
2016/9/16," 705,723 "
2016/9/15," 885,730 "
2016/9/14," 894,888 "
2016/9/13," 898,973 "
2016/9/12," 769,617 "
2016/9/11," 764,473 "
2016/9/10," 877,910 "
2016/9/9," 889,353 "
2016/9/8," 882,968 "
2016/9/7," 870,131 "
2016/9/6," 858,184 "
2016/9/5," 717,665 "
2016/9/4," 730,042 "
2016/9/3," 852,359 "
2016/9/2," 869,668 "
2016/9/1," 873,585 "
2016/8/31," 882,757 "
2016/8/30," 895,986 "
2016/8/29," 746,876 "
2016/8/28," 746,079 "
2016/8/27," 864,742 "
2016/8/26," 879,626 "
2016/8/25," 885,059 "
2016/8/24," 877,570 "
2016/8/23," 882,764 "
2016/8/22," 731,434 "
2016/8/21," 729,659 "
2016/8/20," 849,892 "
2016/8/19," 877,093 "
2016/8/18," 879,767 "
2016/8/17," 877,143 "
2016/8/16," 874,217 "
2016/8/15," 723,188 "
2016/8/14," 726,156 "
2016/8/13," 845,539 "
2016/8/12," 865,436 "
2016/8/11," 865,442 "
2016/8/10," 853,888 "
2016/8/9," 864,109 "
2016/8/8," 720,963 "
2016/8/7," 724,677 "
2016/8/6," 843,344 "
2016/8/5," 862,352 "
2016/8/4," 866,040 "
2016/8/3," 860,078 "
2016/8/2," 864,375 "
2016/8/1," 715,822 "
2016/7/31," 720,563 "
2016/7/30," 835,454 "
2016/7/29," 851,782 "
2016/7/28," 854,736 "
2016/7/27," 856,612 "
2016/7/26," 855,606 "
2016/7/25," 710,946 "
2016/7/24," 711,132 "
2016/7/23," 824,511 "
2016/7/22," 837,818 "
2016/7/21," 840,982 "
2016/7/20," 856,188 "
2016/7/19," 864,958 "
2016/7/18," 715,681 "
2016/7/17," 716,106 "
2016/7/16," 840,080 "
2016/7/15," 856,698 "
2016/7/14," 855,224 "
2016/7/13," 861,079 "
2016/7/12," 862,214 "
2016/7/11," 719,019 "
2016/7/10," 715,388 "
2016/7/9," 830,262 "
2016/7/8," 843,724 "
2016/7/7," 841,229 "
2016/7/6," 851,941 "
2016/7/5," 852,825 "
2016/7/4," 712,991 "
2016/7/3," 715,254 "
2016/7/2," 831,399 "
2016/7/1," 847,861 "
2016/6/30," 850,895 "
2016/6/29," 852,976 "
2016/6/28," 852,026 "
2016/6/27," 710,961 "
2016/6/26," 714,211 "
2016/6/25," 827,443 "
2016/6/24," 843,952 "
2016/6/23," 844,715 "
2016/6/22," 843,157 "
2016/6/21," 843,258 "
2016/6/20," 702,545 "
2016/6/19," 705,832 "
2016/6/18," 819,741 "
2016/6/17," 831,936 "
2016/6/16," 830,334 "
2016/6/15," 846,663 "
2016/6/14," 858,257 "
2016/6/13," 830,735 "
2016/6/12," 694,126 "
2016/6/11," 652,952 "
2016/6/10," 656,209 "
2016/6/9," 818,010 "
2016/6/8," 841,656 "
2016/6/7," 849,649 "
2016/6/6," 722,978 "
2016/6/5," 721,215 "
2016/6/4," 833,290 "
2016/6/3," 844,937 "
2016/6/2," 838,363 "
2016/6/1," 845,189 "
2016/5/31," 838,598 "
2016/5/30," 705,959 "
2016/5/29," 701,719 "
2016/5/28," 805,708 "
2016/5/27," 851,096 "
2016/5/26," 856,810 "
2016/5/25," 858,223 "
2016/5/24," 861,435 "
2016/5/23," 722,995 "
2016/5/22," 720,928 "
2016/5/21," 821,716 "
2016/5/20," 840,980 "
2016/5/19," 855,474 "
2016/5/18," 860,460 "
2016/5/17," 860,151 "
2016/5/16," 738,841 "
2016/5/15," 732,762 "
2016/5/14," 835,452 "
2016/5/13," 852,113 "
2016/5/12," 855,619 "
2016/5/11," 860,185 "
2016/5/10," 862,010 "
2016/5/9," 733,598 "
2016/5/8," 732,207 "
2016/5/7," 832,092 "
2016/5/6," 847,262 "
2016/5/5," 844,852 "
2016/5/4," 834,403 "
2016/5/3," 693,691 "
2016/5/2," 621,907 "
2016/5/1," 651,428 "
2016/4/30," 804,228 "
2016/4/29," 829,683 "
2016/4/28," 842,287 "
2016/4/27," 846,724 "
2016/4/26," 846,435 "
2016/4/25," 723,187 "
2016/4/24," 719,154 "
2016/4/23," 821,085 "
2016/4/22," 834,864 "
2016/4/21," 841,511 "
2016/4/20," 838,237 "
2016/4/19," 837,740 "
2016/4/18," 713,411 "
2016/4/17," 715,820 "
2016/4/16," 816,416 "
2016/4/15," 832,475 "
2016/4/14," 830,415 "
2016/4/13," 831,401 "
2016/4/12," 829,671 "
2016/4/11," 711,172 "
2016/4/10," 700,393 "
2016/4/9," 794,641 "
2016/4/8," 806,778 "
2016/4/7," 825,916 "
2016/4/6," 826,177 "
2016/4/5," 685,701 "
2016/4/4," 628,444 "
2016/4/3," 645,301 "
2016/4/2," 780,622 "
2016/4/1," 800,681 "
2016/3/31," 809,492 "
2016/3/30," 826,348 "
2016/3/29," 822,946 "
2016/3/28," 695,924 "
2016/3/27," 689,844 "
2016/3/26," 797,202 "
2016/3/25," 823,692 "
2016/3/24," 828,678 "
2016/3/23," 835,209 "
2016/3/22," 830,473 "
2016/3/21," 707,153 "
2016/3/20," 704,544 "
2016/3/19," 806,901 "
2016/3/18," 824,926 "
2016/3/17," 826,830 "
2016/3/16," 828,354 "
2016/3/15," 828,129 "
2016/3/14," 715,474 "
2016/3/13," 707,207 "
2016/3/12," 807,973 "
2016/3/11," 823,790 "
2016/3/10," 829,366 "
2016/3/9," 824,350 "
2016/3/8," 824,465 "
2016/3/7," 709,006 "
2016/3/6," 704,810 "
2016/3/5," 803,275 "
2016/3/4," 815,510 "
2016/3/3," 815,811 "
2016/3/2," 813,049 "
2016/3/1," 814,200 "
2016/2/29," 696,166 "
2016/2/28," 688,172 "
2016/2/27," 787,432 "
2016/2/26," 796,912 "
2016/2/25," 797,538 "
2016/2/24," 795,359 "
2016/2/23," 785,125 "
2016/2/22," 671,144 "
2016/2/21," 665,535 "
2016/2/20," 758,899 "
2016/2/19," 760,200 "
2016/2/18," 749,048 "
2016/2/17," 727,040 "
2016/2/16," 689,292 "
2016/2/15," 603,081 "
2016/2/14," 535,479 "
2016/2/13," 504,720 "
2016/2/12," 486,699 "
2016/2/11," 471,675 "
2016/2/10," 463,897 "
2016/2/9," 459,438 "
2016/2/8," 466,720 "
2016/2/7," 533,692 "
2016/2/6," 598,690 "
2016/2/5," 648,573 "
2016/2/4," 685,897 "
2016/2/3," 706,829 "
2016/2/2," 722,589 "
2016/2/1," 639,702 "
2016/1/31," 644,668 "
2016/1/30," 734,545 "
2016/1/29," 752,275 "
2016/1/28," 757,286 "
2016/1/27," 754,755 "
2016/1/26," 757,259 "
2016/1/25," 653,419 "
2016/1/24," 657,636 "
2016/1/23," 761,548 "
2016/1/22," 782,668 "
2016/1/21," 787,259 "
2016/1/20," 784,791 "
2016/1/19," 784,717 "
2016/1/18," 677,884 "
2016/1/17," 681,056 "
2016/1/16," 767,073 "
2016/1/15," 779,456 "
2016/1/14," 782,898 "
2016/1/13," 784,486 "
2016/1/12," 787,718 "
2016/1/11," 683,566 "
2016/1/10," 677,986 "
2016/1/9," 763,071 "
2016/1/8," 774,672 "
2016/1/7," 780,535 "
2016/1/6," 779,381 "
2016/1/5," 769,660 "
2016/1/4," 643,397 "
2016/1/3," 588,541 "
2016/1/2," 576,082 "
2016/1/1," 712,949 "
2015/12/31," 742,054 "
2015/12/30," 749,857 "
2015/12/29," 747,351 "
2015/12/28," 644,499 "
2015/12/27," 636,193 "
2015/12/26," 711,738 "
2015/12/25," 729,395 "
2015/12/24," 749,922 "
2015/12/23," 753,339 "
2015/12/22," 758,001 "
2015/12/21," 656,016 "
2015/12/20," 649,832 "
2015/12/19," 735,158 "
2015/12/18," 752,336 "
2015/12/17," 754,141 "
2015/12/16," 765,045 "
2015/12/15," 775,164 "
2015/12/14," 678,849 "
2015/12/13," 683,914 "
2015/12/12," 774,007 "
2015/12/11," 786,033 "
2015/12/10," 793,288 "
2015/12/9," 789,688 "
2015/12/8," 789,192 "
2015/12/7," 684,241 "
2015/12/6," 680,281 "
2015/12/5," 768,026 "
2015/12/4," 783,938 "
2015/12/3," 785,802 "
2015/12/2," 788,811 "
2015/12/1," 784,139 "
2015/11/30," 671,219 "
2015/11/29," 662,913 "
2015/11/28," 746,772 "
2015/11/27," 764,463 "
2015/11/26," 773,446 "
2015/11/25," 781,767 "
2015/11/24," 780,039 "
2015/11/23," 677,170 "
2015/11/22," 679,051 "
2015/11/21," 760,531 "
2015/11/20," 774,340 "
2015/11/19," 778,544 "
2015/11/18," 782,157 "
2015/11/17," 780,563 "
2015/11/16," 673,259 "
2015/11/15," 667,155 "
2015/11/14," 758,111 "
2015/11/13," 774,256 "
2015/11/12," 798,071 "
2015/11/11," 798,090 "
2015/11/10," 777,893 "
2015/11/9," 674,457 "
2015/11/8," 671,443 "
2015/11/7," 754,704 "
2015/11/6," 767,690 "
2015/11/5," 768,602 "
2015/11/4," 765,968 "
2015/11/3," 762,632 "
2015/11/2," 658,172 "
2015/11/1," 652,355 "
2015/10/31," 741,353 "
2015/10/30," 758,427 "
2015/10/29," 761,386 "
2015/10/28," 762,433 "
2015/10/27," 764,524 "
2015/10/26," 662,035 "
2015/10/25," 655,250 "
2015/10/24," 742,765 "
2015/10/23," 759,963 "
2015/10/22," 760,025 "
2015/10/21," 761,003 "
2015/10/20," 760,979 "
2015/10/19," 651,535 "
2015/10/18," 652,027 "
2015/10/17," 738,137 "
2015/10/16," 752,761 "
2015/10/15," 753,557 "
2015/10/14," 752,572 "
2015/10/13," 749,272 "
2015/10/12," 655,441 "
2015/10/11," 720,134 "
2015/10/10," 736,438 "
2015/10/9," 736,800 "
2015/10/8," 644,861 "
2015/10/7," 597,392 "
2015/10/6," 566,026 "
2015/10/5," 533,500 "
2015/10/4," 521,934 "
2015/10/3," 539,713 "
2015/10/2," 573,455 "
2015/10/1," 682,480 "
2015/9/30," 702,231 "
2015/9/29," 703,111 "
2015/9/28," 595,667 "
2015/9/27," 610,586 "
2015/9/26," 711,230 "
2015/9/25," 728,395 "
2015/9/24," 731,685 "
2015/9/23," 735,066 "
2015/9/22," 733,803 "
2015/9/21," 636,784 "
2015/9/20," 633,442 "
2015/9/19," 712,937 "
2015/9/18," 725,685 "
2015/9/17," 724,142 "
2015/9/16," 722,702 "
2015/9/15," 719,131 "
2015/9/14," 620,294 "
2015/9/13," 618,432 "
2015/9/12," 684,409 "
2015/9/11," 716,672 "
2015/9/10," 723,807 "
2015/9/9," 719,852 "
2015/9/8," 715,518 "
2015/9/7," 692,342 "
2015/9/6," 612,873 "
2015/9/5," 594,794 "
2015/9/4," 601,303 "
2015/9/3," 694,771 "
2015/9/2," 709,313 "
2015/9/1," 711,073 "
2015/8/31," 614,362 "
2015/8/30," 612,489 "
2015/8/29," 691,719 "
2015/8/28," 701,260 "
2015/8/27," 701,610 "
2015/8/26," 702,420 "
2015/8/25," 701,227 "
2015/8/24," 598,452 "
2015/8/23," 595,122 "
2015/8/22," 672,840 "
2015/8/21," 677,953 "
2015/8/20," 689,474 "
2015/8/19," 691,208 "
2015/8/18," 689,886 "
2015/8/17," 586,921 "
2015/8/16," 587,332 "
2015/8/15," 666,838 "
2015/8/14," 678,184 "
2015/8/13," 682,654 "
2015/8/12," 683,095 "
2015/8/11," 681,664 "
2015/8/10," 582,621 "
2015/8/9," 578,312 "
2015/8/8," 657,560 "
2015/8/7," 671,744 "
2015/8/6," 676,899 "
2015/8/5," 678,309 "
2015/8/4," 674,660 "
2015/8/3," 575,020 "
2015/8/2," 574,335 "
2015/8/1," 655,465 "
2015/7/31," 670,442 "
2015/7/30," 674,591 "
2015/7/29," 674,456 "
2015/7/28," 674,496 "
2015/7/27," 573,271 "
2015/7/26," 572,843 "
2015/7/25," 652,095 "
2015/7/24," 669,157 "
2015/7/23," 670,957 "
2015/7/22," 670,774 "
2015/7/21," 669,299 "
2015/7/20," 570,821 "
2015/7/19," 570,151 "
2015/7/18," 646,814 "
2015/7/17," 662,478 "
2015/7/16," 668,778 "
2015/7/15," 666,038 "
2015/7/14," 667,255 "
2015/7/13," 576,296 "
2015/7/12," 581,430 "
2015/7/11," 652,242 "
2015/7/10," 662,518 "
2015/7/9," 663,550 "
2015/7/8," 662,771 "
2015/7/7," 662,921 "
2015/7/6," 569,954 "
2015/7/5," 566,347 "
2015/7/4," 640,643 "
2015/7/3," 654,509 "
2015/7/2," 661,640 "
2015/7/1," 661,653 "
2015/6/30," 661,999 "
2015/6/29," 575,532 "
2015/6/28," 575,702 "
2015/6/27," 644,172 "
2015/6/26," 656,724 "
2015/6/25," 658,050 "
2015/6/24," 655,559 "
2015/6/23," 573,053 "
2015/6/22," 515,789 "
2015/6/21," 515,486 "
2015/6/20," 624,367 "
2015/6/19," 647,824 "
2015/6/18," 653,401 "
2015/6/17," 653,017 "
2015/6/16," 649,452 "
2015/6/15," 563,817 "
2015/6/14," 555,474 "
2015/6/13," 624,465 "
2015/6/12," 641,665 "
2015/6/11," 659,930 "
2015/6/10," 661,982 "
2015/6/9," 658,512 "
2015/6/8," 575,666 "
2015/6/7," 565,562 "
2015/6/6," 636,080 "
2015/6/5," 649,718 "
2015/6/4," 651,641 "
2015/6/3," 652,159 "
2015/6/2," 644,521 "
2015/6/1," 567,168 "
2015/5/31," 559,124 "
2015/5/30," 628,675 "
2015/5/29," 639,119 "
2015/5/28," 643,939 "
2015/5/27," 647,245 "
2015/5/26," 645,776 "
2015/5/25," 566,443 "
2015/5/24," 562,718 "
2015/5/23," 629,018 "
2015/5/22," 641,587 "
2015/5/21," 642,339 "
2015/5/20," 647,571 "
2015/5/19," 648,386 "
2015/5/18," 569,167 "
2015/5/17," 556,078 "
2015/5/16," 627,471 "
2015/5/15," 639,174 "
2015/5/14," 642,796 "
2015/5/13," 640,442 "
2015/5/12," 647,215 "
2015/5/11," 572,609 "
2015/5/10," 564,132 "
2015/5/9," 628,048 "
2015/5/8," 637,796 "
2015/5/7," 639,208 "
2015/5/6," 636,001 "
2015/5/5," 632,256 "
2015/5/4," 537,201 "
2015/5/3," 493,444 "
2015/5/2," 506,453 "
2015/5/1," 605,752 "
2015/4/30," 622,679 "
2015/4/29," 629,711 "
2015/4/28," 634,077 "
2015/4/27," 560,520 "
2015/4/26," 552,044 "
